epoch,train_loss,val_loss,val_auc,val_accuracy,lr,time_epoch_sec
0,0.280473,0.061547,1.000000,1.000000,0.00010000,91.47
1,0.149494,0.027288,1.000000,1.000000,0.00010000,88.34
2,0.128937,0.025650,1.000000,1.000000,0.00010000,91.73
3,0.118521,0.021820,1.000000,1.000000,0.00010000,90.52
4,0.112906,0.013098,1.000000,1.000000,0.00010000,90.60
5,0.082347,0.025182,1.000000,1.000000,0.00010000,88.73
6,0.057880,0.009024,1.000000,1.000000,0.00002000,91.26
7,0.046264,0.003345,1.000000,1.000000,0.00002000,91.37
8,0.032262,0.010242,1.000000,1.000000,0.00002000,91.85
9,0.036515,0.015241,1.000000,1.000000,0.00002000,88.50
